timestamp,demand,temperature,hour,day_of_week,month,year,ds,y,day,weekday
2003-04-26,10471.0,48.0,1,5,4,2003,4/26/2003,2003.0,26.0,7.0
2003-04-27,10410.0,46.0,1,6,4,2003,4/27/2003,2003.0,27.0,1.0
2003-04-28,9964.0,50.0,1,0,4,2003,4/28/2003,2003.0,28.0,2.0
2003-04-29,10301.0,60.0,1,1,4,2003,4/29/2003,2003.0,29.0,3.0
2003-04-30,10304.0,56.0,1,2,4,2003,4/30/2003,2003.0,30.0,4.0
2003-05-01,10278.0,49.0,1,3,5,2003,5/1/2003,2003.0,1.0,5.0
2003-05-02,10528.0,58.0,1,4,5,2003,5/2/2003,2003.0,2.0,6.0
2003-05-03,10261.0,47.0,1,5,5,2003,5/3/2003,2003.0,3.0,7.0
2003-05-04,9976.0,47.0,1,6,5,2003,5/4/2003,2003.0,4.0,1.0
2003-05-05,9753.0,48.0,1,0,5,2003,5/5/2003,2003.0,5.0,2.0
2003-05-06,10323.0,48.0,1,1,5,2003,5/6/2003,2003.0,6.0,3.0
2003-05-07,10456.0,51.0,1,2,5,2003,5/7/2003,2003.0,7.0,4.0
2003-05-08,10478.0,59.0,1,3,5,2003,5/8/2003,2003.0,8.0,5.0
2003-05-09,10503.0,50.0,1,4,5,2003,5/9/2003,2003.0,9.0,6.0
2003-05-10,10331.0,48.0,1,5,5,2003,5/10/2003,2003.0,10.0,7.0
2003-05-11,9940.0,54.0,1,6,5,2003,5/11/2003,2003.0,11.0,1.0
2003-05-12,9746.0,48.0,1,0,5,2003,5/12/2003,2003.0,12.0,2.0
2003-05-13,10372.0,50.0,1,1,5,2003,5/13/2003,2003.0,13.0,3.0
2003-05-14,10383.0,50.0,1,2,5,2003,5/14/2003,2003.0,14.0,4.0
2003-05-15,10352.0,52.0,1,3,5,2003,5/15/2003,2003.0,15.0,5.0
2003-05-16,10345.0,50.0,1,4,5,2003,5/16/2003,2003.0,16.0,6.0
2003-05-17,10465.0,43.0,1,5,5,2003,5/17/2003,2003.0,17.0,7.0
2003-05-18,10121.0,43.0,1,6,5,2003,5/18/2003,2003.0,18.0,1.0
2003-05-19,9784.0,53.0,1,0,5,2003,5/19/2003,2003.0,19.0,2.0
2003-05-20,10431.0,57.0,1,1,5,2003,5/20/2003,2003.0,20.0,3.0
2003-05-21,10557.0,60.0,1,2,5,2003,5/21/2003,2003.0,21.0,4.0
2003-05-22,10430.0,54.0,1,3,5,2003,5/22/2003,2003.0,22.0,5.0
2003-05-23,10498.0,49.0,1,4,5,2003,5/23/2003,2003.0,23.0,6.0
2003-05-24,10391.0,48.0,1,5,5,2003,5/24/2003,2003.0,24.0,7.0
2003-05-25,10199.0,48.0,1,6,5,2003,5/25/2003,2003.0,25.0,1.0
2003-05-26,9743.0,54.0,1,0,5,2003,5/26/2003,2003.0,26.0,2.0
2003-05-27,9848.0,49.0,1,1,5,2003,5/27/2003,2003.0,27.0,3.0
2003-05-28,10417.0,55.0,1,2,5,2003,5/28/2003,2003.0,28.0,4.0
2003-05-29,10495.0,54.0,1,3,5,2003,5/29/2003,2003.0,29.0,5.0
2003-05-30,10572.0,59.0,1,4,5,2003,5/30/2003,2003.0,30.0,6.0
2003-05-31,10578.0,61.0,1,5,5,2003,5/31/2003,2003.0,31.0,7.0
2003-06-01,10224.0,58.0,1,6,6,2003,6/1/2003,2003.0,1.0,1.0
2003-06-02,9909.0,53.0,1,0,6,2003,6/2/2003,2003.0,2.0,2.0
2003-06-03,10371.0,56.0,1,1,6,2003,6/3/2003,2003.0,3.0,3.0
2003-06-04,10468.0,58.0,1,2,6,2003,6/4/2003,2003.0,4.0,4.0
2003-06-05,10487.0,55.0,1,3,6,2003,6/5/2003,2003.0,5.0,5.0
2003-06-06,10597.0,58.0,1,4,6,2003,6/6/2003,2003.0,6.0,6.0
2003-06-07,10779.0,63.0,1,5,6,2003,6/7/2003,2003.0,7.0,7.0
2003-06-08,10234.0,57.0,1,6,6,2003,6/8/2003,2003.0,8.0,1.0
2003-06-09,10081.0,59.0,1,0,6,2003,6/9/2003,2003.0,9.0,2.0
2003-06-10,10685.0,60.0,1,1,6,2003,6/10/2003,2003.0,10.0,3.0
2003-06-11,10910.0,62.0,1,2,6,2003,6/11/2003,2003.0,11.0,4.0
2003-06-12,11391.0,65.0,1,3,6,2003,6/12/2003,2003.0,12.0,5.0
2003-06-13,11289.0,62.0,1,4,6,2003,6/13/2003,2003.0,13.0,6.0
2003-06-14,10635.0,56.0,1,5,6,2003,6/14/2003,2003.0,14.0,7.0
2003-06-15,10768.0,62.0,1,6,6,2003,6/15/2003,2003.0,15.0,1.0
2003-06-16,10396.0,59.0,1,0,6,2003,6/16/2003,2003.0,16.0,2.0
2003-06-17,10545.0,52.0,1,1,6,2003,6/17/2003,2003.0,17.0,3.0
2003-06-18,10697.0,57.0,1,2,6,2003,6/18/2003,2003.0,18.0,4.0
2003-06-19,10961.0,62.0,1,3,6,2003,6/19/2003,2003.0,19.0,5.0
2003-06-20,11463.0,64.0,1,4,6,2003,6/20/2003,2003.0,20.0,6.0
2003-06-21,10952.0,60.0,1,5,6,2003,6/21/2003,2003.0,21.0,7.0
2003-06-22,10353.0,58.0,1,6,6,2003,6/22/2003,2003.0,22.0,1.0
2003-06-23,10258.0,58.0,1,0,6,2003,6/23/2003,2003.0,23.0,2.0
2003-06-24,11650.0,64.0,1,1,6,2003,6/24/2003,2003.0,24.0,3.0
2003-06-25,13325.0,71.0,1,2,6,2003,6/25/2003,2003.0,25.0,4.0
2003-06-26,14938.0,78.0,1,3,6,2003,6/26/2003,2003.0,26.0,5.0
2003-06-27,15924.0,77.0,1,4,6,2003,6/27/2003,2003.0,27.0,6.0
2003-06-28,14631.0,72.0,1,5,6,2003,6/28/2003,2003.0,28.0,7.0
2003-06-29,12448.0,67.0,1,6,6,2003,6/29/2003,2003.0,29.0,1.0
2003-06-30,12211.0,68.0,1,0,6,2003,6/30/2003,2003.0,30.0,2.0
2003-07-01,12655.0,68.0,1,1,7,2003,7/1/2003,2003.0,1.0,3.0
2003-07-02,12468.0,66.0,1,2,7,2003,7/2/2003,2003.0,2.0,4.0
2003-07-03,13058.0,70.0,1,3,7,2003,7/3/2003,2003.0,3.0,5.0
2003-07-04,12508.0,67.0,1,4,7,2003,7/4/2003,2003.0,4.0,6.0
2003-07-05,14060.0,76.0,1,5,7,2003,7/5/2003,2003.0,5.0,7.0
2003-07-06,14818.0,77.0,1,6,7,2003,7/6/2003,2003.0,6.0,1.0
2003-07-07,14266.0,75.0,1,0,7,2003,7/7/2003,2003.0,7.0,2.0
2003-07-08,14672.0,71.0,1,1,7,2003,7/8/2003,2003.0,8.0,3.0
2003-07-09,15661.0,78.0,1,2,7,2003,7/9/2003,2003.0,9.0,4.0
2003-07-10,11979.0,62.0,1,3,7,2003,7/10/2003,2003.0,10.0,5.0
2003-07-11,11994.0,65.0,1,4,7,2003,7/11/2003,2003.0,11.0,6.0
2003-07-12,11602.0,62.0,1,5,7,2003,7/12/2003,2003.0,12.0,7.0
2003-07-13,12169.0,67.0,1,6,7,2003,7/13/2003,2003.0,13.0,1.0
2003-07-14,12047.0,66.0,1,0,7,2003,7/14/2003,2003.0,14.0,2.0
2003-07-15,12312.0,65.0,1,1,7,2003,7/15/2003,2003.0,15.0,3.0
2003-07-16,12702.0,66.0,1,2,7,2003,7/16/2003,2003.0,16.0,4.0
2003-07-17,13077.0,69.0,1,3,7,2003,7/17/2003,2003.0,17.0,5.0
2003-07-18,13161.0,68.0,1,4,7,2003,7/18/2003,2003.0,18.0,6.0
2003-07-19,12639.0,68.0,1,5,7,2003,7/19/2003,2003.0,19.0,7.0
2003-07-20,11922.0,64.0,1,6,7,2003,7/20/2003,2003.0,20.0,1.0
2003-07-21,12289.0,69.0,1,0,7,2003,7/21/2003,2003.0,21.0,2.0
2003-07-22,13508.0,71.0,1,1,7,2003,7/22/2003,2003.0,22.0,3.0
2003-07-23,14075.0,71.0,1,2,7,2003,7/23/2003,2003.0,23.0,4.0
2003-07-24,14102.0,71.0,1,3,7,2003,7/24/2003,2003.0,24.0,5.0
2003-07-25,13810.0,70.0,1,4,7,2003,7/25/2003,2003.0,25.0,6.0
2003-07-26,13494.0,70.0,1,5,7,2003,7/26/2003,2003.0,26.0,7.0
2003-07-27,13658.0,73.0,1,6,7,2003,7/27/2003,2003.0,27.0,1.0
2003-07-28,14662.0,77.0,1,0,7,2003,7/28/2003,2003.0,28.0,2.0
2003-07-29,13165.0,69.0,1,1,7,2003,7/29/2003,2003.0,29.0,3.0
2003-07-30,12874.0,65.0,1,2,7,2003,7/30/2003,2003.0,30.0,4.0
2003-07-31,12953.0,66.0,1,3,7,2003,7/31/2003,2003.0,31.0,5.0
2003-08-01,12736.0,65.0,1,4,8,2003,8/1/2003,2003.0,1.0,6.0
2003-08-02,12248.0,64.0,1,5,8,2003,8/2/2003,2003.0,2.0,7.0
2003-08-03,13117.0,71.0,1,6,8,2003,8/3/2003,2003.0,3.0,1.0
2003-08-04,13871.0,73.0,1,0,8,2003,8/4/2003,2003.0,4.0,2.0
2003-08-05,14545.0,73.0,1,1,8,2003,8/5/2003,2003.0,5.0,3.0
2003-08-06,14413.0,71.0,1,2,8,2003,8/6/2003,2003.0,6.0,4.0
2003-08-07,14300.0,70.0,1,3,8,2003,8/7/2003,2003.0,7.0,5.0
2003-08-08,14296.0,71.0,1,4,8,2003,8/8/2003,2003.0,8.0,6.0
2003-08-09,14020.0,71.0,1,5,8,2003,8/9/2003,2003.0,9.0,7.0
2003-08-10,14164.0,73.0,1,6,8,2003,8/10/2003,2003.0,10.0,1.0
2003-08-11,14310.0,74.0,1,0,8,2003,8/11/2003,2003.0,11.0,2.0
2003-08-12,15085.0,74.0,1,1,8,2003,8/12/2003,2003.0,12.0,3.0
2003-08-13,14785.0,71.0,1,2,8,2003,8/13/2003,2003.0,13.0,4.0
2003-08-14,14972.0,74.0,1,3,8,2003,8/14/2003,2003.0,14.0,5.0
2003-08-15,14447.0,74.0,1,4,8,2003,8/15/2003,2003.0,15.0,6.0
2003-08-16,14576.0,73.0,1,5,8,2003,8/16/2003,2003.0,16.0,7.0
2003-08-17,13750.0,71.0,1,6,8,2003,8/17/2003,2003.0,17.0,1.0
2003-08-18,12116.0,65.0,1,0,8,2003,8/18/2003,2003.0,18.0,2.0
2003-08-19,12702.0,66.0,1,1,8,2003,8/19/2003,2003.0,19.0,3.0
2003-08-20,13776.0,71.0,1,2,8,2003,8/20/2003,2003.0,20.0,4.0
2003-08-21,14819.0,73.0,1,3,8,2003,8/21/2003,2003.0,21.0,5.0
2003-08-22,15339.0,74.0,1,4,8,2003,8/22/2003,2003.0,22.0,6.0
2003-08-23,14824.0,73.0,1,5,8,2003,8/23/2003,2003.0,23.0,7.0
2003-08-24,11374.0,61.0,1,6,8,2003,8/24/2003,2003.0,24.0,1.0
2003-08-25,10836.0,63.0,1,0,8,2003,8/25/2003,2003.0,25.0,2.0
2003-08-26,12774.0,70.0,1,1,8,2003,8/26/2003,2003.0,26.0,3.0
2003-08-27,13254.0,70.0,1,2,8,2003,8/27/2003,2003.0,27.0,4.0
2003-08-28,13307.0,69.0,1,3,8,2003,8/28/2003,2003.0,28.0,5.0
2003-08-29,11695.0,59.0,1,4,8,2003,8/29/2003,2003.0,29.0,6.0
2003-08-30,13317.0,73.0,1,5,8,2003,8/30/2003,2003.0,30.0,7.0
2003-08-31,11267.0,60.0,1,6,8,2003,8/31/2003,2003.0,31.0,1.0
2003-09-01,10409.0,59.0,1,0,9,2003,9/1/2003,2003.0,1.0,2.0
2003-09-02,10440.0,61.0,1,1,9,2003,9/2/2003,2003.0,2.0,3.0
2003-09-03,10889.0,59.0,1,2,9,2003,9/3/2003,2003.0,3.0,4.0
2003-09-04,11167.0,60.0,1,3,9,2003,9/4/2003,2003.0,4.0,5.0
2003-09-05,11916.0,66.0,1,4,9,2003,9/5/2003,2003.0,5.0,6.0
2003-09-06,11322.0,61.0,1,5,9,2003,9/6/2003,2003.0,6.0,7.0
2003-09-07,10753.0,59.0,1,6,9,2003,9/7/2003,2003.0,7.0,1.0
2003-09-08,11116.0,66.0,1,0,9,2003,9/8/2003,2003.0,8.0,2.0
2003-09-09,11008.0,58.0,1,1,9,2003,9/9/2003,2003.0,9.0,3.0
2003-09-10,10646.0,51.0,1,2,9,2003,9/10/2003,2003.0,10.0,4.0
2003-09-11,10880.0,61.0,1,3,9,2003,9/11/2003,2003.0,11.0,5.0
2003-09-12,11083.0,59.0,1,4,9,2003,9/12/2003,2003.0,12.0,6.0
2003-09-13,10812.0,58.0,1,5,9,2003,9/13/2003,2003.0,13.0,7.0
2003-09-14,10984.0,65.0,1,6,9,2003,9/14/2003,2003.0,14.0,1.0
2003-09-15,11869.0,69.0,1,0,9,2003,9/15/2003,2003.0,15.0,2.0
2003-09-16,12434.0,67.0,1,1,9,2003,9/16/2003,2003.0,16.0,3.0
2003-09-17,11430.0,60.0,1,2,9,2003,9/17/2003,2003.0,17.0,4.0
2003-09-18,11072.0,59.0,1,3,9,2003,9/18/2003,2003.0,18.0,5.0
2003-09-19,11125.0,62.0,1,4,9,2003,9/19/2003,2003.0,19.0,6.0
2003-09-20,12415.0,71.0,1,5,9,2003,9/20/2003,2003.0,20.0,7.0
2003-09-21,11653.0,65.0,1,6,9,2003,9/21/2003,2003.0,21.0,1.0
2003-09-22,10528.0,60.0,1,0,9,2003,9/22/2003,2003.0,22.0,2.0
2003-09-23,11075.0,62.0,1,1,9,2003,9/23/2003,2003.0,23.0,3.0
2003-09-24,10963.0,59.0,1,2,9,2003,9/24/2003,2003.0,24.0,4.0
2003-09-25,10846.0,58.0,1,3,9,2003,9/25/2003,2003.0,25.0,5.0
2003-09-26,11264.0,64.0,1,4,9,2003,9/26/2003,2003.0,26.0,6.0
2003-09-27,10884.0,59.0,1,5,9,2003,9/27/2003,2003.0,27.0,7.0
2003-09-28,11181.0,65.0,1,6,9,2003,9/28/2003,2003.0,28.0,1.0
2003-09-29,10701.0,60.0,1,0,9,2003,9/29/2003,2003.0,29.0,2.0
2003-09-30,10487.0,52.0,1,1,9,2003,9/30/2003,2003.0,30.0,3.0
2003-10-01,10391.0,49.0,1,2,10,2003,10/1/2003,2003.0,1.0,4.0
2003-10-02,10648.0,51.0,1,3,10,2003,10/2/2003,2003.0,2.0,5.0
2003-10-03,10665.0,41.0,1,4,10,2003,10/3/2003,2003.0,3.0,6.0
2003-10-04,10719.0,45.0,1,5,10,2003,10/4/2003,2003.0,4.0,7.0
2003-10-05,10368.0,48.0,1,6,10,2003,10/5/2003,2003.0,5.0,1.0
2003-10-06,10182.0,42.0,1,0,10,2003,10/6/2003,2003.0,6.0,2.0
2003-10-07,10921.0,41.0,1,1,10,2003,10/7/2003,2003.0,7.0,3.0
2003-10-08,10694.0,48.0,1,2,10,2003,10/8/2003,2003.0,8.0,4.0
2003-10-09,10768.0,57.0,1,3,10,2003,10/9/2003,2003.0,9.0,5.0
2003-10-10,10652.0,53.0,1,4,10,2003,10/10/2003,2003.0,10.0,6.0
2003-10-11,10621.0,53.0,1,5,10,2003,10/11/2003,2003.0,11.0,7.0
2003-10-12,10160.0,53.0,1,6,10,2003,10/12/2003,2003.0,12.0,1.0
2003-10-13,10111.0,57.0,1,0,10,2003,10/13/2003,2003.0,13.0,2.0
2003-10-14,10299.0,50.0,1,1,10,2003,10/14/2003,2003.0,14.0,3.0
2003-10-15,10536.0,57.0,1,2,10,2003,10/15/2003,2003.0,15.0,4.0
2003-10-16,10485.0,50.0,1,3,10,2003,10/16/2003,2003.0,16.0,5.0
2003-10-17,10990.0,46.0,1,4,10,2003,10/17/2003,2003.0,17.0,6.0
2003-10-18,10590.0,46.0,1,5,10,2003,10/18/2003,2003.0,18.0,7.0
2003-10-19,10569.0,41.0,1,6,10,2003,10/19/2003,2003.0,19.0,1.0
2003-10-20,10648.0,35.0,1,0,10,2003,10/20/2003,2003.0,20.0,2.0
2003-10-21,10905.0,46.0,1,1,10,2003,10/21/2003,2003.0,21.0,3.0
2003-10-22,10627.0,50.0,1,2,10,2003,10/22/2003,2003.0,22.0,4.0
2003-10-23,11290.0,37.0,1,3,10,2003,10/23/2003,2003.0,23.0,5.0
2003-10-24,11519.0,35.0,1,4,10,2003,10/24/2003,2003.0,24.0,6.0
2003-10-25,11671.0,33.0,1,5,10,2003,10/25/2003,2003.0,25.0,7.0
2003-10-26,10703.0,50.0,1,6,10,2003,10/26/2003,2003.0,26.0,1.0
2003-10-27,10165.0,61.0,1,0,10,2003,10/27/2003,2003.0,27.0,2.0
2003-10-28,10534.0,54.0,1,1,10,2003,10/28/2003,2003.0,28.0,3.0
2003-10-29,10537.0,50.0,1,2,10,2003,10/29/2003,2003.0,29.0,4.0
2003-10-30,10705.0,48.0,1,3,10,2003,10/30/2003,2003.0,30.0,5.0
2003-10-31,10877.0,43.0,1,4,10,2003,10/31/2003,2003.0,31.0,6.0
2003-11-01,10430.0,55.0,1,5,11,2003,11/1/2003,2003.0,1.0,7.0
2003-11-02,10100.0,58.0,1,6,11,2003,11/2/2003,2003.0,2.0,1.0
2003-11-03,9971.0,52.0,1,0,11,2003,11/3/2003,2003.0,3.0,2.0
2003-11-04,10664.0,53.0,1,1,11,2003,11/4/2003,2003.0,4.0,3.0
2003-11-05,10900.0,42.0,1,2,11,2003,11/5/2003,2003.0,5.0,4.0
2003-11-06,10770.0,51.0,1,3,11,2003,11/6/2003,2003.0,6.0,5.0
2003-11-07,10783.0,48.0,1,4,11,2003,11/7/2003,2003.0,7.0,6.0
2003-11-08,10929.0,46.0,1,5,11,2003,11/8/2003,2003.0,8.0,7.0
2003-11-09,11693.0,27.0,1,6,11,2003,11/9/2003,2003.0,9.0,1.0
2003-11-10,11683.0,27.0,1,0,11,2003,11/10/2003,2003.0,10.0,2.0
2003-11-11,11788.0,30.0,1,1,11,2003,11/11/2003,2003.0,11.0,3.0
2003-11-12,11147.0,45.0,1,2,11,2003,11/12/2003,2003.0,12.0,4.0
2003-11-13,10835.0,51.0,1,3,11,2003,11/13/2003,2003.0,13.0,5.0
2003-11-14,11550.0,37.0,1,4,11,2003,11/14/2003,2003.0,14.0,6.0
2003-11-15,11942.0,34.0,1,5,11,2003,11/15/2003,2003.0,15.0,7.0
2003-11-16,11748.0,29.0,1,6,11,2003,11/16/2003,2003.0,16.0,1.0
2003-11-17,10971.0,38.0,1,0,11,2003,11/17/2003,2003.0,17.0,2.0
2003-11-18,11372.0,38.0,1,1,11,2003,11/18/2003,2003.0,18.0,3.0
2003-11-19,11078.0,45.0,1,2,11,2003,11/19/2003,2003.0,19.0,4.0
2003-11-20,10773.0,59.0,1,3,11,2003,11/20/2003,2003.0,20.0,5.0
2003-11-21,11237.0,42.0,1,4,11,2003,11/21/2003,2003.0,21.0,6.0
2003-11-22,11120.0,44.0,1,5,11,2003,11/22/2003,2003.0,22.0,7.0
2003-11-23,10977.0,38.0,1,6,11,2003,11/23/2003,2003.0,23.0,1.0
2003-11-24,10970.0,36.0,1,0,11,2003,11/24/2003,2003.0,24.0,2.0
2003-11-25,11043.0,47.0,1,1,11,2003,11/25/2003,2003.0,25.0,3.0
2003-11-26,11924.0,30.0,1,2,11,2003,11/26/2003,2003.0,26.0,4.0
2003-11-27,11206.0,38.0,1,3,11,2003,11/27/2003,2003.0,27.0,5.0
2003-11-28,10035.0,43.0,1,4,11,2003,11/28/2003,2003.0,28.0,6.0
2003-11-29,10428.0,60.0,1,5,11,2003,11/29/2003,2003.0,29.0,7.0
2003-11-30,11305.0,36.0,1,6,11,2003,11/30/2003,2003.0,30.0,1.0
2003-12-01,10953.0,41.0,1,0,12,2003,12/1/2003,2003.0,1.0,2.0
2003-12-02,12134.0,31.0,1,1,12,2003,12/2/2003,2003.0,2.0,3.0
2003-12-03,13535.0,15.0,1,2,12,2003,12/3/2003,2003.0,3.0,4.0
2003-12-04,13343.0,18.0,1,3,12,2003,12/4/2003,2003.0,4.0,5.0
2003-12-05,13071.0,21.0,1,4,12,2003,12/5/2003,2003.0,5.0,6.0
2003-12-06,13200.0,24.0,1,5,12,2003,12/6/2003,2003.0,6.0,7.0
2003-12-07,12865.0,24.0,1,6,12,2003,12/7/2003,2003.0,7.0,1.0
2003-12-08,12655.0,25.0,1,0,12,2003,12/8/2003,2003.0,8.0,2.0
2003-12-09,13124.0,23.0,1,1,12,2003,12/9/2003,2003.0,9.0,3.0
2003-12-10,12732.0,27.0,1,2,12,2003,12/10/2003,2003.0,10.0,4.0
2003-12-11,12119.0,38.0,1,3,12,2003,12/11/2003,2003.0,11.0,5.0
2003-12-12,11978.0,39.0,1,4,12,2003,12/12/2003,2003.0,12.0,6.0
2003-12-13,12822.0,28.0,1,5,12,2003,12/13/2003,2003.0,13.0,7.0
2003-12-14,13324.0,18.0,1,6,12,2003,12/14/2003,2003.0,14.0,1.0
2003-12-15,12517.0,32.0,1,0,12,2003,12/15/2003,2003.0,15.0,2.0
2003-12-16,13122.0,27.0,1,1,12,2003,12/16/2003,2003.0,16.0,3.0
2003-12-17,12698.0,30.0,1,2,12,2003,12/17/2003,2003.0,17.0,4.0
2003-12-18,12219.0,38.0,1,3,12,2003,12/18/2003,2003.0,18.0,5.0
2003-12-19,12885.0,30.0,1,4,12,2003,12/19/2003,2003.0,19.0,6.0
2003-12-20,12888.0,29.0,1,5,12,2003,12/20/2003,2003.0,20.0,7.0
2003-12-21,13007.0,22.0,1,6,12,2003,12/21/2003,2003.0,21.0,1.0
2003-12-22,12535.0,33.0,1,0,12,2003,12/22/2003,2003.0,22.0,2.0
2003-12-23,12190.0,40.0,1,1,12,2003,12/23/2003,2003.0,23.0,3.0
2003-12-24,11863.0,42.0,1,2,12,2003,12/24/2003,2003.0,24.0,4.0
2003-12-25,11019.0,50.0,1,3,12,2003,12/25/2003,2003.0,25.0,5.0
2003-12-26,11175.0,34.0,1,4,12,2003,12/26/2003,2003.0,26.0,6.0
2003-12-27,11967.0,34.0,1,5,12,2003,12/27/2003,2003.0,27.0,7.0
2003-12-28,11895.0,30.0,1,6,12,2003,12/28/2003,2003.0,28.0,1.0
2003-12-29,11690.0,34.0,1,0,12,2003,12/29/2003,2003.0,29.0,2.0
2003-12-30,11675.0,38.0,1,1,12,2003,12/30/2003,2003.0,30.0,3.0
2003-12-31,11814.0,40.0,1,2,12,2003,12/31/2003,2003.0,31.0,4.0
2004-01-01,12094.0,37.0,1,3,1,2004,1/1/2004,2004.0,1.0,5.0
2004-01-02,11603.0,30.0,1,4,1,2004,1/2/2004,2004.0,2.0,6.0
2004-01-03,11888.0,33.0,1,5,1,2004,1/3/2004,2004.0,3.0,7.0
